"","YTID","Author","Year","Title","Journal","Volume","Issue","Pages","DOI","PMCID","Record Number"
"2901","2010 - Identification of novel 1,4-benzoxazine compounds that are protective in tissue culture and in vivo models of neurodegeneration","L. Wang, H. Ankati, S. K. Akubathini, M. Balderamos, C. A. Storey, A. V. Patel, V. Price, D. Kretzschmar, E. R. Biehl and S. R. D'Mello",2010,"Identification of novel 1,4-benzoxazine compounds that are protective in tissue culture and in vivo models of neurodegeneration","Journal of Neuroscience Research","88","9","1970-1984","10.1002/jnr.22352",NA,20754
"2902","2010 - Immunodeficiency reduces neural stem/progenitor cell apoptosis and enhances neurogenesis in the cerebral cortex after stroke","O. Saino, A. Taguchi, T. Nakagomi, A. Nakano-Doi, S. Kashiwamura, N. Doe, N. Nakagomi, T. Soma, H. Yoshikawa, D. M. Stern, H. Okamura and T. Matsuyama",2010,"Immunodeficiency reduces neural stem/progenitor cell apoptosis and enhances neurogenesis in the cerebral cortex after stroke","J Neurosci Res","88","11","2385-97","10.1002/jnr.22410",NA,20758
"2903","2010 - Importance of neurogenesis in a rodent model of stroke","T. R. Rossetti, M. B. Goncalves, P. Yip, P. Doherty, A. H. Hainsworth and R. J. Yáñez-Muñoz",2010,"Importance of neurogenesis in a rodent model of stroke","Human Gene Therapy","21","4","520-521","10.1089=hum.2010.1225",NA,20761
"2904","2010 - Improved functional recovery after stroke through enhancement of the endogenous neurogenesis in aged rats","C. Poehlke, J. Mostertz, J. Kaiser, A. M. Buga, A. T. Balseanu, J. Anklam, G. Homuth and A. Popa-Wagner",2010,"Improved functional recovery after stroke through enhancement of the endogenous neurogenesis in aged rats","Cerebrovascular Diseases","29",NA,"311-312","10.1159/000321266",NA,20762
"2905","2010 - Improving outcomes of neuroprotection by minocycline: Guides from cell culture and intracerebral hemorrhage in mice","M. Xue, E. I. Mikliaeva, S. Casha, D. Zygun, A. Demchuk and V. W. Yong",2010,"Improving outcomes of neuroprotection by minocycline: Guides from cell culture and intracerebral hemorrhage in mice","American Journal of Pathology","176","3","1193-1202","10.2353/ajpath.2010.090361",NA,20764
"2906","2010 - In vitro and in vivo effectiveness of neuroprotective l-glutamic acid derivatives for the potential treatment of alzheimer's disease1","M. P. Arce, M. I. Rodríguez-Franco, C. Gil, G. C. González-Muñoz, C. Pérez, B. López, S. Lorrio, P. Negredo, J. Egea, A. Romero, M. Villarroya, M. G. López, A. G. García, J. M. Roda and S. Conde",2010,"In vitro and in vivo effectiveness of neuroprotective l-glutamic acid derivatives for the potential treatment of alzheimer's disease1","Drugs of the Future","35",NA,"147",NA,NA,20765
"2907","2010 - In vivo imaging after stroke investigated by intracranial 2-photon microscopy","R. B. Monika, N. Jens, O. Gabriella, G. Matthias and K. G. Reymann",2010,"In vivo imaging after stroke investigated by intracranial 2-photon microscopy","Journal of Neuroimmunology","228","43497","174-175","10.1016/j.jneuroim.2010.08.001",NA,20768
"2908","2010 - In vivo imaging after stroke investigated by intracranial 2Photon microscopy","M. Riek Burchardt, J. Neumann, G. Orlando, M. Gunzer and K. G. Reymann",2010,"In vivo imaging after stroke investigated by intracranial 2Photon microscopy","Restorative Neurology and Neuroscience","28","5","654-655","10.3233/RNN-2010-0576",NA,20767
"2909","2010 - In vivo therapeutic gas delivery for neuroprotection with echogenic liposomes","G. L. Britton, H. Kim, P. H. Kee, J. Aronowski, C. K. Holland, D. D. McPherson and S. L. Huang",2010,"In vivo therapeutic gas delivery for neuroprotection with echogenic liposomes","Circulation","122","16","1578-1587","10.1161/CIRCULATIONAHA.109.879338",NA,20770
"2910","2010 - Induction of striatal neurogenesis and generation of region-specific functional mature neurons after ischemia by growth factors. Laboratory investigation","G. Yoshikawa, T. Momiyama, S. Oya, K. Takai, J. Tanaka, S. Higashiyama, N. Saito, T. Kirino and N. Kawahara",2010,"Induction of striatal neurogenesis and generation of region-specific functional mature neurons after ischemia by growth factors. Laboratory investigation","J Neurosurg","113","4","835-50","10.3171/2010.2.jns09989",NA,20773
"2911","2010 - Inhibition of reactive astrocytes with fluorocitrate retards neurovascular remodeling and recovery after focal cerebral ischemia in mice","K. Hayakawa, T. Nakano, K. Irie, S. Higuchi, M. Fujioka, K. Orito, K. Iwasaki, G. Jin, E. H. Lo, K. Mishima and M. Fujiwara",2010,"Inhibition of reactive astrocytes with fluorocitrate retards neurovascular remodeling and recovery after focal cerebral ischemia in mice","Journal of Cerebral Blood Flow and Metabolism","30","4","871-882","10.1038/jcbfm.2009.257",NA,20779
"2912","2010 - Inhibition of substance P reduces edema and blood-brain barrier dysfunction following rat collagenase intracerebral hemorrhage, but does not improve functional outcome","T. J. Kleinig, S. C. Helps, N. Cook, P. C. Blumbergs and R. Vink",2010,"Inhibition of substance P reduces edema and blood-brain barrier dysfunction following rat collagenase intracerebral hemorrhage, but does not improve functional outcome","Stroke","41","4","e212-e213","10.1161/01.str.0000366114.11305.66",NA,20780
"2913","2010 - Inhibitory effect of icariin on expression of myelin inhibitory factors in the central nervous system of rats with focal cerebral ischemia","H. Hu, Y. Zhou, B. Cao and X. Wang",2010,"Inhibitory effect of icariin on expression of myelin inhibitory factors in the central nervous system of rats with focal cerebral ischemia","Neural Regeneration Research","5","16","1211-1215","10.3969/j.issn.1673-5374.2010.16.002",NA,20781
"2914","2010 - Injectable VEGF hydrogels produce near complete neurological and anatomical protection following cerebral ischemia in rats","D. F. Emerich, E. Silva, O. Ali, D. Mooney, W. Bell, S. J. Yu, Y. Kaneko and C. Borlongan",2010,"Injectable VEGF hydrogels produce near complete neurological and anatomical protection following cerebral ischemia in rats","Cell Transplantation","19","9","1063-1071","10.3727/096368910X498278",NA,20782
"2915","2010 - Interference effect of picroside II on cerebral ischemia reperfusion injury in rats","Z. Li, Q. Li, Y. L. Guo, L. H. Qin and L. J. Luan",2010,"Interference effect of picroside II on cerebral ischemia reperfusion injury in rats","Acta Anatomica Sinica","41","1","43808","10.3969/j.issn.0529-1356.2010.01.002",NA,20784
"2916","2010 - International Congress of Young Scientists 2010",NA,2010,"International Congress of Young Scientists 2010","New Armenian Medical Journal","4","1",NA,NA,NA,20785
"2917","2010 - Interrelation between neurological deficit and functional impairment within the first week following experimental embolic stroke in rats","D. Michalski, L. Küppers-Tiedt, C. Weise, W. Härtig, D. Schneider and C. Hobohm",2010,"Interrelation between neurological deficit and functional impairment within the first week following experimental embolic stroke in rats","Cerebrovascular Diseases","29",NA,"318","10.1159/000321266",NA,20786
"2918","2010 - Intraarterial transplantation of human bone marrow mononuclear cells in rat stroke does not improve functional recovery","J. Minnerup, F. Seeger, H. Wersching, E. B. Ringelstein, S. Dimmeler and W. R. Schäbitz",2010,"Intraarterial transplantation of human bone marrow mononuclear cells in rat stroke does not improve functional recovery","Cerebrovascular Diseases","29",NA,"308-309","10.1159/000321266",NA,20798
"2919","2010 - Intranasal Administration of PEGylated Transforming Growth Factor-Î± Improves Behavioral Deficits in a Chronic Stroke Model",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2920","2010 - Intravascular administration of CTX0E03 stem cells exerts benefit in acute stroke animals: A preliminary study","P. R. Sanberg, D. J. Eve, D. H. Park, C. B. Borlongan, C. D. Sanberg and J. D. Sinden",2010,"Intravascular administration of CTX0E03 stem cells exerts benefit in acute stroke animals: A preliminary study","Cell Transplantation","19","3","360","10.3727/096368910X495370",NA,20790
"2921","2010 - Intravenous coadministration of smooth muscle and endothelial progenitor cells enhances neurogenesis and angiogenesis, and reduces behavioural deficit in cerebral ischemia in mice","L. Nih, N. Deroide, C. Dean, D. Lerouet, M. Soustrat, B. I. Levy, M. Pocard, I. Margaill and N. Kubis",2010,"Intravenous coadministration of smooth muscle and endothelial progenitor cells enhances neurogenesis and angiogenesis, and reduces behavioural deficit in cerebral ischemia in mice","Restorative Neurology and Neuroscience","28","5","631-632","10.3233/RNN-2010-0575",NA,20792
"2922","2010 - Intravenous implanted neural stem cells migrate to injury site, reduce infarct volume, and improve behavior after cerebral ischemia","C. C. Shen, C. H. Lin, Y. C. Yang, M. T. Chiao, W. Y. Cheng and J. L. Ko",2010,"Intravenous implanted neural stem cells migrate to injury site, reduce infarct volume, and improve behavior after cerebral ischemia","Current Neurovascular Research","7","3","167-179","10.2174/156720210792231822",NA,20794
"2923","2010 - Intravenous infusion of GDNF gene-modified human umbilical cord blood CD34+ cells protects against cerebral ischemic injury in spontaneously hypertensive rats","Y. Ou, S. Yu, Y. Kaneko, N. Tajiri, E. C. Bae, S. H. Chheda, C. E. Stahl, T. Yang, L. Fang, K. Hu, C. V. Borlongan and G. Yu",2010,"Intravenous infusion of GDNF gene-modified human umbilical cord blood CD34+ cells protects against cerebral ischemic injury in spontaneously hypertensive rats","Brain Res","1366",NA,"217-25","10.1016/j.brainres.2010.09.098",NA,20795
"2924","2010 - Intravenously administered BMSCs reduce neuronal apoptosis and promote neuronal proliferation through the release of VEGF after stroke in rats","Y. B. Deng, W. B. Ye, Z. Z. Hu, Y. Yan, Y. Wang, B. F. Takon, G. Q. Zhou and Y. F. Zhou",2010,"Intravenously administered BMSCs reduce neuronal apoptosis and promote neuronal proliferation through the release of VEGF after stroke in rats","Neurological Research","32","2","148-156","10.1179/174313209X414434",NA,20797
"2925","2010 - Investigation of spatial memory in rats with local ischemia","T. Margaryan, A. Ghochikyan, H. Topchyan and S. Mkhitaryan",2010,"Investigation of spatial memory in rats with local ischemia","New Armenian Medical Journal","4","1","82-83",NA,NA,20800
"2926","2010 - Involvement of ERK 1/2 activation in electroacupuncture pretreatment via cannabinoid CB1 receptor in rats","J. Du, Q. Wang, B. Hu, Z. Peng, Y. Zhao, L. Ma, L. Xiong, Y. Lu, X. Zhu and S. Chen",2010,"Involvement of ERK 1/2 activation in electroacupuncture pretreatment via cannabinoid CB1 receptor in rats","Brain Res","1360",NA,"43647","10.1016/j.brainres.2010.07.034",NA,20802
"2927","2010 - Involvement of possible nitric oxide mechanism in the protective effect of hesperidin against ischemic reperfusion cerebral injury using experimental model of stroke","V. Gaur and A. Kumar",2010,"Involvement of possible nitric oxide mechanism in the protective effect of hesperidin against ischemic reperfusion cerebral injury using experimental model of stroke","Behavioural Pharmacology","21","43621","589","10.1097/FBP.0b013e32833dbe35",NA,20804
"2928","2010 - IPS for stroke","B. Onteniente",2010,"IPS for stroke","Restorative Neurology and Neuroscience","28","5","619-620","10.3233/RNN-2010-0575",NA,20806
"2929","2010 - Ischemic postconditioning may not influence early brain injury induced by focal cerebral ischemia/reperfusion in rats","Y. K. Kim, J. G. Leem, J. W. Shin and K. W. Joung",2010,"Ischemic postconditioning may not influence early brain injury induced by focal cerebral ischemia/reperfusion in rats","Korean J Anesthesiol","58","2","176-83","10.4097/kjae.2010.58.2.176","PMC2872862",20808
"2930","2010 - Ischemic stroke may activate bone marrow mononuclear cells to enhance recovery after stroke","S. Sharma, B. Yang, X. P. Xi, J. Grotta and S. I. Savitz",2010,"Ischemic stroke may activate bone marrow mononuclear cells to enhance recovery after stroke","Stroke","41","4","e210","10.1161/01.str.0000366114.11305.66",NA,20809
"2931","2010 - Korean red ginseng prevents cell death and enhances recovery in ischemic stroke mediating PI3K/Akt pathway","S. Y. Cheon, K. J. Cho, H. W. Kim, S. K. Lee, S. H. Lee, J. E. Lee, B. I. Lee and G. W. Kim",2010,"Korean red ginseng prevents cell death and enhances recovery in ischemic stroke mediating PI3K/Akt pathway","Restorative Neurology and Neuroscience","28","5","641-643","10.3233/RNN-2010-0576",NA,20810
"2932","2010 - L-3-n-butylphthalide improves cognitive impairment and reduces amyloid-Î² in a transgenic model of Alzheimer's disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2933","2010 - Lack of association between dietary protein intake and risk of stroke among middle-aged men","S. R. Preis, M. J. Stampfer, D. Spiegelman, W. C. Willett and E. B. Rimm",2010,"Lack of association between dietary protein intake and risk of stroke among middle-aged men","Am J Clin Nutr","91","1","39-45","10.3945/ajcn.2009.28060","PMC2793104",20812
"2934","2010 - Late stimulation of the sphenopalatine-ganglion in ischemic rats: Improvement in N-acetyl-aspartate levels and diffusion weighted imaging characteristics as seen by MR","A. Bar-Shir, N. Shemesh, R. Nossin-Manor and Y. Cohen",2010,"Late stimulation of the sphenopalatine-ganglion in ischemic rats: Improvement in N-acetyl-aspartate levels and diffusion weighted imaging characteristics as seen by MR","Journal of Magnetic Resonance Imaging","31","6","1355-1363","10.1002/jmri.22110",NA,20814
"2935","2010 - Lateralized and sex-dependent behavioral and morphological effects of unilateral neonatal cerebral hypoxia-ischemia in the rat","N. S. Arteni, L. O. Pereira, A. L. Rodrigues, D. Lavinsky, M. E. Achaval and C. A. Netto",2010,"Lateralized and sex-dependent behavioral and morphological effects of unilateral neonatal cerebral hypoxia-ischemia in the rat","Behavioural Brain Research","210","1","92-98","10.1016/j.bbr.2010.02.015",NA,20815
"2936","2010 - Learning deficits after experimental subarachnoid hemorrhage in rats","H. Jeon, J. Ai, M. Sabri, A. Tariq and R. L. Macdonald",2010,"Learning deficits after experimental subarachnoid hemorrhage in rats","Neuroscience","169","4","1805-1814","10.1016/j.neuroscience.2010.06.039",NA,20816
"2937","2010 - Leptin and its receptor are involved in neuronal death and leptin protects the death via control of leptin receptor in experimental transient ischemic damage","B. C. Yan, J. H. Choi, K. Y. Yoo, C. H. Lee, H. Li, O. K. Park, P. Du, I. K. Hwang and M. H. Won",2010,"Leptin and its receptor are involved in neuronal death and leptin protects the death via control of leptin receptor in experimental transient ischemic damage","Neuroscience Research","68",NA,"e206-e207","10.1016/j.neures.2010.07.2485",NA,20817
